run,type,time,cluster,distance.mean,distance.sd,distance.q0,distance.q1,distance.q2,distance.q3,distance.q4,count
1,bkm,54.320000,2,8.351661,4.917239,1.713299,4.099228,7.576754,11.991052,19.462763,113
1,bkm,54.320000,3,3.719087,1.850452,1.046862,2.121879,3.469695,5.162615,8.567970,571
1,bkm,54.320000,4,19.243351,5.578057,8.935381,19.400723,19.841620,22.732429,25.306600,5
1,bkm,54.320000,5,18.219179,8.334295,3.369263,12.133820,19.806671,25.342990,33.087165,23
1,bkm,54.320000,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,bkm,54.320000,7,1.756275,0.762985,0.614037,1.104750,1.670028,2.363768,3.593109,2778
1,bkm,54.320000,8,17.587667,9.943441,5.931882,9.637139,14.183771,29.110350,33.473809,16
1,bkm,54.320000,9,4.800214,2.479616,1.245553,2.551381,4.420351,7.241836,9.835026,299
1,bkm,54.320000,10,20.644092,11.472788,3.541973,11.570005,22.004271,28.858169,37.943131,16
1,bkm,54.320000,11,15.843868,1.513019,13.709633,15.280917,15.838654,16.401606,17.988533,4
1,bkm,54.320000,12,11.148737,5.995220,2.309183,5.447100,11.595831,16.731749,22.700129,61
1,bkm,54.320000,13,17.803597,9.980537,5.031191,9.211699,15.734560,28.018003,32.662428,10
1,bkm,54.320000,14,2.903067,1.369177,0.894733,1.711619,2.744243,4.006534,6.004407,1017
1,bkm,54.320000,15,2.260060,1.026185,0.735526,1.328176,2.182731,3.046761,4.811291,1771
1,bkm,54.320000,16,6.390047,3.156728,1.352273,3.687019,6.332347,8.667737,13.853703,165
1,bkm,54.320000,17,1.285020,0.714493,0.303691,0.703675,1.217331,1.813479,4.274688,3697
1,bkm,54.320000,18,1.285880,0.568680,0.393711,0.756770,1.233531,1.760809,2.438014,4329
1,bkm,54.320000,19,14.898192,7.640403,2.694731,7.980563,15.674285,20.605676,32.940675,48
1,skm,6.426000,0,0.615474,0.266809,0.198219,0.353005,0.587575,0.823582,1.696298,575
1,skm,6.426000,1,0.565254,0.181772,0.289754,0.413158,0.540989,0.704269,1.046273,1250
